témoignent           ==> made : 0.139612           doing : 0.0698061         transferring : 0.0698061 
lecteurs             ==> their : 0.757484          his : 0.0362397           transformed : 0.0184784  
vaut                 ==> proves : 0.120654         premature : 0.120654      inadequate : 0.120654    
ignorance            ==> sanctimonious : 0.20946   ignorance : 0.20946       based : 0.20946          
oms                  ==> wider : 0.2               across : 0.2              who : 0.2                
nationalistes        ==> independence : 0.0835993  security : 0.0835993      officials : 0.0835993    
sahraoui             ==> has : 0.10479             settlement : 0.0774998    sahrawi : 0.0774998      
prévu                ==> have : 0.404683           that : 0.307911           more : 0.174749          
réclament            ==> duties : 0.0824738        shortfall : 0.0824738     refuse : 0.0824738       
uns                  ==> each : 0.421026           on : 0.372223             some : 0.205082          
reformulations       ==> rewordings : 0.166182     existing : 0.166182       32 : 0.166182            
abandonner           ==> mandatory : 0.108699      idea : 0.108699           frankly : 0.108699       
une                  ==> a : 0.859796              of : 0.0546304            the : 0.0424048          
distinction          ==> distinguish : 0.519641    hand : 0.0753724          distinction : 0.0753724  
contribution         ==> contribution : 0.747899   world : 0.207384          a : 0.0428227            
portant              ==> an : 0.158683             it : 0.145017             threatening : 0.0796723  
contrats             ==> are : 0.428631            which : 0.201339          this : 0.184178          
quint                ==> quint : 0.32578           guy : 0.32578             0327 : 0.32578           
scientifique         ==> scientific : 0.628461     wants : 0.060564          direction : 0.060564     
initiative           ==> initiative : 0.950083     on : 0.049814             an : 5.82829e-05         
2197                 ==> shared : 0.199989         lawmaking : 0.199989      715 : 0.199989           
constamment          ==> integration : 0.0718905   island : 0.0359453        unwavering : 0.0359453   
arsenic              ==> we : 0.128692             products : 0.067055       lead : 0.067055          
aller                ==> go : 0.351286             need : 0.236574           to : 0.147236            
douaniers            ==> customs : 0.106608        approval : 0.106608       detail : 0.106608        
dangereux            ==> hazardous : 0.489511      on : 0.085583             owing : 0.0358746        
milieu               ==> an : 0.115823             britain : 0.0970815       triple : 0.0970815       
puissance            ==> so : 0.0639163            far : 0.0639163           seats : 0.0639163        
commission           ==> commission : 0.842584     committee : 0.157416      on : 4.01288e-07         
recul                ==> candidate : 0.124616      problem : 0.0672884       jobs : 0.0672884         
entendons            ==> want : 0.199668           systems : 0.199668        respect : 0.199668       
séances              ==> sittings : 0.280792       b : 0.280792              29 : 0.280792            
avérée               ==> real : 0.0813762          option : 0.0813762        below : 0.0813762        
regretter            ==> pay : 0.0593023           long : 0.0593023          yet : 0.0589841          
transitoire          ==> would : 0.198362          possible : 0.114713       interim : 0.114713       
essayant             ==> attempt : 0.150633        regard : 0.150633         reach : 0.150633         
fortement            ==> one : 0.312647            should : 0.294676         this : 0.149777          
efficace             ==> effective : 0.605767      efficient : 0.252952      which : 0.0760497        
restants             ==> remaining : 0.664407      take : 0.0419367          seeks : 0.0419367        
avérés               ==> recognised : 0.23027      previously : 0.23027      embarrassment : 0.23027  
exception            ==> exception : 0.602093      directly : 0.394815       with : 0.00159771        
célérité             ==> produced : 0.0820879      gentleman : 0.0820879     expedition : 0.0820879   
servie               ==> here : 0.111337           harm : 0.111337           granting : 0.111337      
destinés             ==> terms : 0.420416          seize : 0.108724          lend : 0.108724          
énoncent             ==> will : 0.146996           external : 0.0734981      reservation : 0.0734981  
suppose              ==> suppose : 0.0660285       languishing : 0.0660285   jails : 0.0660285        
voté                 ==> voted : 0.98196           important : 0.0179924     have : 4.54513e-05       
reconnaissance       ==> recognition : 0.80066     which : 0.0831795         from : 0.0533479         
tant                 ==> as : 0.815881             of : 0.160133             and : 0.0238998          
biais                ==> means : 0.299183          state : 0.222241          would : 0.115293         
saines               ==> sound : 0.243767          prudent : 0.243767        ought : 0.243767         
vigoureuse           ==> protest : 0.166834        met : 0.166834            instead : 0.166834       
il                   ==> it : 0.607884             is : 0.263282             to : 0.0735008           
in                   ==> verbatim : 0.200002       proceedings : 0.200002    check : 0.200002         
redire               ==> clear : 0.111008          source : 0.111008         crystal : 0.111008       
chiffres             ==> figures : 0.738086        give : 0.21261            could : 0.0308036        
quand                ==> when : 0.916223           but : 0.0832239           might : 0.000552822      
hémine               ==> times : 0.0545704         saint : 0.0545704         rule : 0.0545704         
évidemment           ==> course : 0.463075         obviously : 0.210277      of : 0.129422            
industriels          ==> defending : 0.234921      cover : 0.234921          industry : 0.234921      
multipolaire         ==> you : 0.149797            developments : 0.0748984  vice : 0.0748984         
ouattara             ==> ivorian : 0.140485        allow : 0.0702425         ouattara : 0.0702425     
remplissent          ==> satisfy : 0.0807623       classification : 0.0807623 chosen : 0.0807623       
quant                ==> as : 0.603369             be : 0.216588             could : 0.0652955        
traiter              ==> deal : 0.313333           related : 0.185405        conversely : 0.185405    
colonies             ==> soldiers : 0.0847949      settlements : 0.0847949   lebanon : 0.0847949      
enseignent           ==> italian : 0.0960864       disease : 0.0960864       basis : 0.0480432        
livre                ==> paper : 0.991639          white : 0.00836037        has : 1.91773e-07        
réconciliation       ==> unblock : 0.171745        reconciliation : 0.171745 order : 0.171745         
logiciels            ==> sound : 0.142322          software : 0.142322       parameters : 0.142322    
palacio              ==> palacio : 0.228022        de : 0.228022             comments : 0.228022      
elle                 ==> it : 0.656159             to : 0.150924             and : 0.110442           
vieux                ==> old : 0.669676            with : 0.171296           of : 0.158889            
médiateur            ==> ombudsman : 0.624957      s : 0.352287              parliament : 0.0179671   
appréciation         ==> radical : 0.152645        judging : 0.152645        been : 0.152645          
éloignés             ==> world : 0.0983933         words : 0.0983933         there : 0.0983933        
changer              ==> call : 0.26928            its : 0.162959            into : 0.162959          
approbation          ==> approval : 0.714025       of : 0.285356             for : 0.000618808        
uniquement           ==> have : 0.287656           so : 0.286307             we : 0.24911             
pétrolier            ==> tanker : 0.212397         indicative : 0.212397     condition : 0.212397     
éloignée             ==> taxes : 0.0999844         instruments : 0.0499922   industries : 0.0499922   
avocats              ==> refers : 0.142193         professional : 0.0947952  lawyers : 0.0947952      
autorisée            ==> join : 0.174794           group : 0.174794          may : 0.174794           
herzégovine          ==> state : 0.145697          struggle : 0.145697       herzegovina : 0.145697   
sixièmement          ==> link : 0.142926           into : 0.142926           sixthly : 0.142926       
augmente             ==> increasing : 0.200144     constantly : 0.200144     this : 0.199963          
autorisés            ==> white : 0.193546          use : 0.193546            need : 0.193546          
couronnement         ==> touch : 0.142856          reaching : 0.142856       kind : 0.142856          
1776                 ==> years : 0.0611964         last : 0.0611964          happened : 0.0611964     
satisfactions        ==> about : 0.0810956         today : 0.0496073         open : 0.0496073         
appréhender          ==> business : 0.07776        suffices : 0.07776        sme : 0.07776            
candidats            ==> candidate : 0.77544       countries : 0.224559      for : 4.99379e-07        
friedrich            ==> professor : 0.0896463     least : 0.0896463         ingo : 0.0896463         
n                    ==> not : 0.537161            no : 0.149902             it : 0.144772            
conflits             ==> conflicts : 0.366819      reference : 0.0396298     three : 0.0396298        
regarder             ==> look : 0.15759            concerns : 0.15759        call : 0.15759           
importés             ==> trying : 0.0677569        reduced : 0.0677569       peat : 0.0677569         
renouvellement       ==> his : 0.151312            transformed : 0.0771534   themselves : 0.0771534   
ingérence            ==> powers : 0.340156         interference : 0.340156   from : 0.224661          
mesure               ==> able : 0.331324           a : 0.261431              from : 0.259132          
énergie              ==> energy : 0.97514          of : 0.023236             renewable : 0.00123817   
délai                ==> to : 0.318122             be : 0.233535             of : 0.21403             
encouragées          ==> together : 0.136233       tackle : 0.136233         encourage : 0.136233     
saurait              ==> this : 0.334544           prevails : 0.100748       considered : 0.100748    
saurais              ==> report : 0.176417         back : 0.176417           raised : 0.176417        
domaines             ==> areas : 0.900742          as : 0.0928619            policy : 0.00639221      
paragraphe           ==> paragraph : 0.916443      any : 0.0835568           not : 9.05385e-10        
augmenté             ==> increased : 0.172343      gone : 0.0861715          causes : 0.0861715       
conciliation         ==> conciliation : 0.8067     at : 0.104683             me : 0.0878165           
obtenant             ==> scored : 0.0825931        much : 0.0825931          draftsman : 0.0825931    
savions              ==> start : 0.200979          negotiation : 0.200979    knew : 0.200979          
atteint              ==> shows : 0.120781          rightly : 0.120781        reached : 0.120781       
intégrer             ==> into : 0.778263           had : 0.169569            this : 0.0480607         
entamons             ==> start : 0.348649          involving : 0.348649      we : 0.302618            
notification         ==> presumed : 0.180535       speak : 0.103591          item : 0.0902675         
sécheresse           ==> provision : 0.111507      winterisation : 0.0557534 supporting : 0.0557534   
établisse            ==> member : 0.127839         future : 0.127839         end : 0.127839           
évident              ==> clear : 0.609294          air : 0.0330561           wrong : 0.0330561        
carte                ==> nationalist : 0.175118    he : 0.175118             drew : 0.175118          
vétérinaire          ==> body : 0.0704796          addition : 0.0704796      veterinary : 0.0704796   
extraordinaire       ==> who : 0.106181            jutta : 0.0756457         joan : 0.0756457         
représenterait       ==> would : 0.497988          approximately : 0.322619  involve : 0.0585434      
prenons              ==> take : 0.359662           are : 0.0825279           seriously : 0.0623379    
confrontation        ==> untenable : 0.0769284     undermine : 0.0769284     though : 0.0769284       
chypre               ==> cyprus : 0.734718         of : 0.163247             eastern : 0.101689       
coordonnée           ==> coordinated : 0.526971    all : 0.273777            successfully : 0.0248571 
fermeté              ==> specific : 0.0821979      segments : 0.0821979      importantly : 0.0821979  
désastre             ==> another : 0.0909076       struck : 0.0909076        strengthen : 0.0909076   
dignité              ==> dignity : 0.84524         we : 0.153691             about : 0.000534685      
cadre                ==> framework : 0.580117      within : 0.245454         for : 0.102338           
avéré                ==> presented : 0.190885      paper : 0.190885          budgets : 0.190885       
commis               ==> against : 0.498157        for : 0.046928            third : 0.0339354        
ores                 ==> parties : 0.119916        accepted : 0.119916       producer : 0.119916      
bombardement         ==> reiterate : 0.0658391     preliminary : 0.0658391   kendakor : 0.0658391     
compétent            ==> calls : 0.068145          related : 0.068145        shortest : 0.068145      
lien                 ==> an : 0.38595              europe : 0.242409         of : 0.0464541           
lier                 ==> sixthly : 0.142926        mistake : 0.142926        link : 0.142926          
lieu                 ==> place : 0.360752          take : 0.234726           what : 0.220702          
amsterdam            ==> amsterdam : 0.816368      from : 0.183528           of : 0.000103213         
décédaient           ==> adverse : 0.14289         rule : 0.14289            due : 0.14289            
subi                 ==> voluntarily : 0.0971899   transgressed : 0.0971899  she : 0.0971899          
initial              ==> amendment : 0.06904       preliminary : 0.06904     inclusion : 0.06904      
envolées             ==> rhetoric : 0.084751       new : 0.084751            little : 0.084751        
réticences           ==> sensitive : 0.297911      areas : 0.193779          it : 0.0943442           
attaqués             ==> actions : 0.0714223       exploitative : 0.0714223  targets : 0.0714223      
syndicats            ==> trade : 0.0757549         stresses : 0.0757549      proposed : 0.0757549     
analyse              ==> analysis : 0.677187       been : 0.322806           that : 5.72719e-06       
avions               ==> had : 0.429205            what : 0.257607           at : 0.187833            
très                 ==> very : 0.859809           a : 0.0555801             in : 0.0459277           
induire              ==> may : 0.213189            since : 0.106595          really : 0.106595        
225                  ==> response : 0.16666        lags : 0.16666            cutback : 0.16666        
fort                 ==> of : 0.237708             which : 0.226539          from : 0.199072          
inconditionnel       ==> people : 0.151206         indeed : 0.151206         full : 0.151206          
mauvaises            ==> poor : 0.108396           later : 0.0541981         sooner : 0.0541981       
sonneur              ==> wise : 0.090925           open : 0.090925           brought : 0.090925       
attacher             ==> incredibly : 0.200002     grips : 0.200002          get : 0.200002           
positif              ==> positive : 0.46812        from : 0.304884           is : 0.125428            
chômage              ==> unemployment : 0.754438   against : 0.24556         in : 1.7242e-06          
hermétiques          ==> tighter : 0.138126        smuggling : 0.138126      see : 0.138126           
tranché              ==> settled : 0.279163        attentively : 0.279163    me : 0.279162            
petit                ==> small : 0.594755          non : 0.232631            commercial : 0.0349322   
dites                ==> far : 0.0924599           sacrosanct : 0.0924599    concerned : 0.0924599    
limitée              ==> transitional : 0.242906   limited : 0.242906        ask : 0.242906           
décider              ==> decide : 0.753428         must : 0.223515           to : 0.0201325           
tactique             ==> favour : 0.0836038        round : 0.0836038         away : 0.0836038         
limités              ==> time : 0.130144           terms : 0.130144          far : 0.130144           
conventionnelles     ==> set : 0.204847            establishes : 0.204847    detailed : 0.204847      
oralement            ==> rule : 0.190067           orally : 0.190067         making : 0.190067        
réellement           ==> really : 0.402699         be : 0.226238             truly : 0.205147         
0088                 ==> silva : 0.0783529         moreira : 0.0783529       greenhouse : 0.0783529   
2504                 ==> by : 0.257178             territorial : 0.128591    regarding : 0.128591     
alerte               ==> safeguards : 0.072432     follow : 0.072432         feed : 0.072432          
analysé              ==> analysed : 0.199629       come : 0.199629           now : 0.199629           
rendue               ==> on : 0.337488             and : 0.294913            forward : 0.0240756      
exporter             ==> exporting : 0.624313      jobs : 0.368873           one : 0.00151379         
comportant           ==> safeguards : 0.072432     follow : 0.072432         feed : 0.072432          
0905                 ==> boudjenah : 0.331536      0905 : 0.331536           others : 0.331521        
provisoirement       ==> from : 0.0650517          vegetables : 0.0584676    putting : 0.0584676      
russe                ==> russian : 0.0750666       politician : 0.0750666    opposition : 0.0750666   
lignes               ==> lines : 0.307468          by : 0.259315             actually : 0.222679      
transfert            ==> scope : 0.0603686         rigorous : 0.0603686      repair : 0.0603686       
religieux            ==> religious : 0.697638      weighing : 0.0333744      resulted : 0.0333744     
préoccupe            ==> way : 0.0946859           understand : 0.0946859    most : 0.0946859         
forment              ==> uniqueness : 0.0475353    separate : 0.0475353      réunion : 0.0475353      
profite              ==> her : 0.112935            points : 0.0604563        now : 0.0604563          
pseudo               ==> pseudo : 0.149155         view : 0.0916251          hope : 0.0745774         
rappellent           ==> into : 0.0815484          scylla : 0.0815484        quotas : 0.0815484       
dérouleront          ==> well : 0.124993           impression : 0.124993     he : 0.124993            
profits              ==> worked : 0.0746421        transporters : 0.0746421  transport : 0.0746421    
agressivité          ==> strong : 0.0978856        selfishness : 0.0978856   problems : 0.0978856     
couronnée            ==> triumph : 0.164883        mentioned : 0.164883      crowned : 0.164883       
univoque             ==> clear : 0.135633          unit : 0.135633           unambiguous : 0.135633   
efficaces            ==> effective : 0.434419      be : 0.225898             efficient : 0.188664     
couronnés            ==> people : 0.151206         indeed : 0.151206         full : 0.151206          
ingénuité            ==> tremendous : 0.109932     regarding : 0.109932      quite : 0.109932         
suicide              ==> with : 0.185378           willing : 0.0928827       victim : 0.0928827       
technique            ==> technical : 0.841497      from : 0.158503           political : 4.33219e-09  
opère                ==> draw : 0.18509            distinction : 0.18509     hand : 0.18509           
précisions           ==> gather : 0.120792         clarifications : 0.120792 subject : 0.120792       
concurrencer         ==> suffering : 0.0819904     endure : 0.0819904        competing : 0.0819904    
négociation          ==> negotiations : 0.395342   accomplished : 0.0466068  reform : 0.0466068       
saperait             ==> untenable : 0.0769284     undermine : 0.0769284     though : 0.0769284       
entreposée           ==> destroying : 0.132661     transported : 0.0663305   stockpiles : 0.0663305   
bénéficier           ==> from : 0.348896           with : 0.276144           be : 0.207861            
timor                ==> timor : 0.726708          west : 0.271543           hundred : 0.000225442    
tolère               ==> villainies : 0.109709     tolerating : 0.109709     run : 0.109709           
ievoli               ==> ievoli : 0.325693         sun : 0.325693            by : 0.212241            
adhère               ==> myself : 0.149173         lifetime : 0.149173       interest : 0.149173      
régler               ==> urgency : 0.131482        tackled : 0.131482        suspicion : 0.131482     
consentir            ==> turning : 0.142825        souchet : 0.142825        process : 0.142825       
dix                  ==> ten : 0.853142            ago : 0.146857            as : 9.34588e-07         
dit                  ==> said : 0.809669           in : 0.156184             that : 0.0341466         
spécifiquement       ==> specifically : 0.572437   amount : 0.053323         purpose : 0.053323       
attendre             ==> a : 0.180847              for : 0.120071            at : 0.077862            
dis                  ==> said : 0.259949           have : 0.147249           exactly : 0.130089       
ville                ==> only : 0.425411           mr : 0.286946             our : 0.197998           
morts                ==> were : 0.199999           week : 0.0999994          up : 0.0999994           
petersberg           ==> scrupulously : 0.0749289  petersberg : 0.0749289    page : 0.0749289         
opérationnelle       ==> relevant : 0.0833104      penal : 0.0833104         operational : 0.0833104  
compliqué            ==> there : 0.184972          offing : 0.092486         complex : 0.092486       
voulons              ==> want : 0.631022           do : 0.146279             to : 0.119055            
toutefois            ==> however : 0.394258        for : 0.328026            but : 0.217686           
spirituelles         ==> versions : 0.163845       spiritual : 0.163845      references : 0.163845    
afghanistan          ==> afghanistan : 0.999985    schroedter : 4.50946e-06  0789 : 4.50946e-06       
offrant              ==> see : 0.177018            making : 0.177018         concluded : 0.177018     
filles               ==> daughter : 0.144973       creativity : 0.144973     shown : 0.144973         
somalie              ==> sri : 0.181325            somalia : 0.181325        lanka : 0.181325         
international        ==> international : 0.637865  another : 0.362132        the : 2.55362e-06        
inégalités           ==> transfer : 0.0351872      seeking : 0.0351872       resulting : 0.0351872    
complémentaire       ==> obviously : 0.0879519     stress : 0.0879519        separated : 0.0879519    
accompagner          ==> want : 0.579384           promises : 0.0840509      obstruct : 0.0840509     
ensembles            ==> has : 0.174904            held : 0.0705781          striven : 0.0705781      
incontestables       ==> that : 0.179846           unquestionable : 0.100109 suggest : 0.100109       
moyens               ==> means : 0.443307          with : 0.237993           the : 0.172324           
choisissons          ==> becoming : 0.0480775      associated : 0.0480775    stronger : 0.0480775     
évoquée              ==> debate : 0.387762         referred : 0.0919015      alavanos : 0.0919015     
permettrait          ==> an : 0.556976             would : 0.087871          towards : 0.0508159      
traitements          ==> discrimination : 0.202683 a : 0.0990397             white : 0.0872883        
exploitation         ==> exploitation : 0.500216   operation : 0.0917984     satisfied : 0.0917984    
bon                  ==> good : 0.386164           of : 0.244481             a : 0.210768             
évoqués              ==> responsibility : 0.146565 shows : 0.0732826         solved : 0.0732826       
cotonou              ==> regarding : 0.0989055     link : 0.0989055          respected : 0.0989055    
consolation          ==> their : 0.0743558         water : 0.0743558         through : 0.0743558      
stricte              ==> be : 0.442562             watts : 0.0467237         takes : 0.0467237        
ancrés               ==> wanted : 0.184435         securely : 0.184435       e : 0.184435             
désespérant          ==> heartbreaking : 0.218847  explains : 0.218847       why : 0.218847           
contradictions       ==> have : 0.119347           been : 0.102688           up : 0.0759767           
exemple              ==> example : 0.745182        for : 0.254524            is : 0.000273901         
salariés             ==> employees : 0.080055      things : 0.080055         amongst : 0.080055       
médiation            ==> summon : 0.0706991        select : 0.0706991        ombudsman : 0.0706991    
univers              ==> society : 0.159654        members : 0.159654        weakest : 0.159654       
traversent           ==> no : 0.153987             are : 0.0831819           obstacle : 0.0769935     
france               ==> france : 0.999991         especially : 8.37958e-06  in : 4.88192e-07         
pery                 ==> péry : 0.571135           being : 0.240984          both : 0.187741          
vous                 ==> you : 0.999988            to : 1.09288e-05          a : 5.6632e-07           
quotidiennes         ==> a : 0.153579              televised : 0.1004        printed : 0.1004         
animaux              ==> animals : 0.50238         as : 0.189102             been : 0.176911          
scepticisme          ==> scepticism : 0.225018     lot : 0.225018            eu : 0.225018            
acceptable           ==> acceptable : 0.751439     may : 0.135512            country : 0.0884042      
réarmement           ==> resultant : 0.103068      arms : 0.103068           increased : 0.103068     
subsistent           ==> value : 0.123427          persistent : 0.123427     europe : 0.123427        
éducateurs           ==> teachers : 0.114852       move : 0.114852           direction : 0.114852     
appel                ==> appeal : 0.477187         more : 0.291176           for : 0.157183           
soutenu              ==> which : 0.432583          is : 0.3048               supports : 0.170258      
salaires             ==> them : 0.454967           low : 0.219384            salaries : 0.162873      
militaire            ==> military : 0.972246       way : 0.0277522           eu : 1.52356e-06         
coupables            ==> it : 0.568871             our : 0.222356            s : 0.198988             
sous                 ==> under : 0.497975          the : 0.208853            to : 0.158346            
pauvres              ==> poor : 0.682866           are : 0.299754            only : 0.017373          
arrive               ==> on : 0.323689             been : 0.323045           is : 0.318227            
attentifs            ==> upon : 0.170344           prevail : 0.0851793       ones : 0.0851793         
flexibilité          ==> flexibility : 0.723899    issues : 0.0277435        determined : 0.0277435   
combinés             ==> renewables : 0.105515     meet : 0.105515           let : 0.105515           
persistera           ==> long : 0.151419           prevails : 0.151419       considered : 0.151419    
demandons            ==> funding : 0.119794        asking : 0.108292         or : 0.0896569           
défi                 ==> challenge : 0.768986      face : 0.21724            those : 0.0123002        
clair                ==> clear : 0.758729          it : 0.0742187            from : 0.0663899         
parce                ==> because : 0.994767        a : 0.00446292            with : 0.000738217       
déficiences          ==> had : 0.109465            stating : 0.0547714       shortcomings : 0.0547714 
exhorte              ==> urge : 0.485484           do : 0.418567             same : 0.0959493         
conduire             ==> will : 0.473804           be : 0.383                in : 0.123941            
spongiforme          ==> regards : 0.110898        proportions : 0.110898    great : 0.110898         
jugement             ==> are : 0.505231            would : 0.436226          which : 0.0585432        
arriérés             ==> tax : 0.0698981           names : 0.0698981         whereabouts : 0.0698981  
établit              ==> set : 0.204847            establishes : 0.204847    detailed : 0.204847      
valable              ==> valuable : 0.201675       represents : 0.201675     fr : 0.201675            
répartition          ==> distribution : 0.421532   union : 0.292198          all : 0.28626            
mai                  ==> may : 0.75796             reaches : 0.0997345       compiled : 0.0997345     
gros                 ==> big : 0.447488            from : 0.447365           do : 0.105061            
mal                  ==> is : 0.252695             have : 0.2038             it : 0.192682            
permet               ==> enables : 0.318159        nature : 0.300497         and : 0.249152           
facile               ==> as : 0.395362             easy : 0.151123           happy : 0.151123         
posée                ==> concerning : 0.513193     question : 0.0589896      link : 0.0423133         
affluer              ==> will : 0.0903969          slaughter : 0.0868503     shift : 0.0868503        
avant                ==> before : 0.79216          are : 0.0638166           which : 0.0370337        
piloter              ==> he : 0.144938             sister : 0.0763062        promoted : 0.0763062     
arrivé               ==> come : 0.294698           had : 0.250694            we : 0.225692            
nous                 ==> we : 0.987297             that : 0.00822344         are : 0.00444976         
posés                ==> increasingly : 0.0867481  elderly : 0.0867481       significant : 0.0867481  
annexion             ==> subsequently : 0.0254797  left : 0.0254797          form : 0.0254797         
actionnaires         ==> shareholders : 0.53702    company : 0.0502507       regulatory : 0.0502507   
mettons              ==> place : 0.0813446         workers : 0.0512535       mark : 0.0512535         
intérêt              ==> interest : 0.421094       of : 0.287746             on : 0.159135            
tragique             ==> tragic : 0.383267         also : 0.358757           put : 0.0344909          
soins                ==> care : 0.99892            health : 0.000743295      order : 0.000337144      
police               ==> police : 0.650393         one : 0.319962            than : 0.0293089         
mais                 ==> but : 1                   that : 2.90503e-07        the : 4.81558e-09        
réalise              ==> are : 0.120272            true : 0.0774587          truth : 0.0774587        
aggrave              ==> worse : 0.306785          bad : 0.306771            at : 0.251987            
main                 ==> one : 0.24502             let : 0.12995             absolutely : 0.12995     
maij                 ==> weggen : 0.105348         maij : 0.105348           draftsperson : 0.105348  
intéressées          ==> substance : 0.0570508     self : 0.0570508          reject : 0.0570508       
sujettes             ==> subject : 0.642841        no : 0.293404             is : 0.0636612           
demandent            ==> solve : 0.152748          provide : 0.152748        popular : 0.152748       
aspirations          ==> those : 0.128401          respond : 0.0642007       represented : 0.0642007  
devient              ==> becoming : 0.186357       you : 0.0858672           of : 0.0645655           
telles               ==> such : 0.510406           have : 0.41846            as : 0.0707054           
hulten               ==> hulten : 0.435527         this : 0.234323           deservedly : 0.0550629   
8878                 ==> regulations : 0.0545618   recommendation : 0.0545618 medicinal : 0.0545618    
compréhensible       ==> understandable : 0.182995 easily : 0.182995         move : 0.182995          
ancien               ==> former : 0.460606         together : 0.277509       would : 0.261885         
physiologie          ==> or : 0.131626             animal : 0.123642         without : 0.0658136      
primo                ==> scope : 0.0603686         rigorous : 0.0603686      repair : 0.0603686       
stabilité            ==> stability : 0.999877      us : 0.000106397          and : 1.54169e-05        
inquiétantes         ==> taking : 0.0719771        spain : 0.0719771         partido : 0.0719771      
déterminées          ==> on : 0.583748             certain : 0.256077        with : 0.159916          
boucliers            ==> hundred : 0.128917        virtual : 0.128917        shields : 0.128917       
savent               ==> can : 0.4263              are : 0.352441            house : 0.0218878        
continu              ==> sent : 0.210561           might : 0.210561          follow : 0.210561        
conventions          ==> conventions : 0.544402    on : 0.455598             done : 9.72982e-09       
stériles             ==> end : 0.166667            sterile : 0.166667        put : 0.166667           
agir                 ==> act : 0.470781            take : 0.436631           action : 0.0916154       
homme                ==> human : 0.991097          rights : 0.00890342       fundamental : 8.52522e-13
napolitano           ==> rules : 0.111111          rule : 0.111111           pursuant : 0.111111      
délimiter            ==> legislation : 0.13993     wide : 0.0997719          variety : 0.0997719      
fasse                ==> a : 0.522367              more : 0.18691            is : 0.172205            
songer               ==> provision : 0.129769      mind : 0.129769           existence : 0.129769     
afghane              ==> wish : 0.0873283          sufficient : 0.0873283    somehow : 0.0873283      
correct              ==> upon : 0.12956            touches : 0.12956         theme : 0.12956          
assurance            ==> insurance : 0.758304      their : 0.241693          be : 3.02048e-06         
autodétermination    ==> self : 0.5                determination : 0.5       on : 2.19356e-10         
hiérarchisation      ==> ranking : 0.124636        necessarily : 0.124636    dictating : 0.124636     
dépenser             ==> funds : 0.210689          i : 0.203931              spending : 0.172838      
dépenses             ==> expenditure : 0.666968    an : 0.267765             spending : 0.0344818     
romano               ==> deal : 0.157112           splendid : 0.078556       romano : 0.078556        
orp                  ==> fisheries : 0.100944      taken : 0.100944          regional : 0.100944      
matériels            ==> for : 0.514613            material : 0.342462       vine : 0.142923          
navals               ==> once : 0.107222           shipyards : 0.107222      work : 0.0536109         
efforcerons          ==> tighter : 0.138126        smuggling : 0.138126      see : 0.138126           
watts                ==> taking : 0.0906964        watts : 0.0906964         takes : 0.0906964        
fondateur            ==> integration : 0.0718905   island : 0.0359453        unwavering : 0.0359453   
réactivation         ==> as : 0.186483             resurrecting : 0.0944683  pack : 0.0944683         
conquérant           ==> had : 0.184648            surrendered : 0.123099    not : 0.123099           
principe             ==> principle : 0.998794      it : 0.00109784           of : 9.37261e-05         
exportations         ==> code : 0.098828           exports : 0.0988274       sees : 0.0927198         
contenter            ==> with : 0.592742           be : 0.19969              let : 0.0349151          
think                ==> why : 0.2071              should : 0.202321         think : 0.202287         
first                ==> why : 0.2071              should : 0.202321         think : 0.202287         
déréglementer        ==> privatising : 0.0916404   privatised : 0.0916404    movements : 0.0916404    
rapporteurs          ==> rapporteurs : 0.707636    first : 0.1057            both : 0.0943975         
orientée             ==> geared : 0.201349         economy : 0.201349        assist : 0.201349        
contenus             ==> paciotti : 0.200459       follows : 0.200459        contained : 0.200459     
orateur              ==> speaker : 0.937501        off : 0.0255596           cut : 0.0255587          
déclassement         ==> quickly : 0.0593167       pilotage : 0.0593167      phase : 0.0593167        
cris                 ==> own : 0.0590722           voluntary : 0.0590722     voices : 0.0590722       
littéralement        ==> through : 0.093405        german : 0.093405         literally : 0.093405     
concluante           ==> great : 0.0762363         deal : 0.0762362          victims : 0.0381373      
plaint               ==> for : 0.215695            cause : 0.144978          us : 0.144978            
moralement           ==> task : 0.155642           quite : 0.155642          undertake : 0.155642     
sévères              ==> this : 0.381359           stringent : 0.214584      turning : 0.0858876      
montrent             ==> believe : 0.365732        president : 0.248428      demonstrate : 0.0521596  
choqué               ==> used : 0.0404342          police : 0.0404342        own : 0.0404342          
expulsions           ==> immigrants : 0.0810285    warrant : 0.0810285       various : 0.0810285      
faisabilité          ==> feasibility : 0.402674    wishes : 0.201188         continue : 0.201174      
11                   ==> 11 : 1                    to : 1.29118e-08          nos : 7.76957e-09        
10                   ==> 10 : 0.912727             in : 0.0872728            cite : 2.38435e-12       
13                   ==> 13 : 0.948416             be : 0.051583             in : 1.10154e-06         
12                   ==> 12 : 0.772612             at : 0.227388             noon : 6.56631e-10       
15                   ==> 15 : 0.586791             nos : 0.413209            same : 4.65196e-12       
14                   ==> 14 : 0.701035             delighted : 0.140198      my : 0.129286            
17                   ==> 17 : 0.613446             for : 0.385845            transferring : 7.69464e-05
16                   ==> like : 0.555687           16 : 0.432425             with : 0.0118874         
19                   ==> 19 : 0.788368             7 : 0.0243598             indicated : 0.0243598    
18                   ==> 18 : 0.999998             been : 1.94043e-06        has : 9.67959e-08        
